track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,66902503,25
Queencard,(G)I-DLE,1,2023,5,15,451,33,96273746,10
OMG,NewJeans,1,2023,1,2,1783,27,430977451,26
Radio,Lana Del Rey,1,2011,1,1,9389,46,284819874,24
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,721975598,119
505,Arctic Monkeys,1,2007,4,20,13985,25,1217120710,30
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,109276132,31
Trance (with Travis Scott & Young Thug),"Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,276259178,24
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,54225632,3
Perfect,Ed Sheeran,1,2017,1,1,16596,13,2559529074,7
Romantic Homicide,d4vd,1,2022,7,20,2335,23,681583126,82
Believer,Imagine Dragons,1,2017,1,31,18986,23,2594040133,250
Novo Balan�,"Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,81102253,6
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,11956641,5
Without Me,Eminem,1,2002,1,1,21081,43,1687664027,98
QUEMA,"Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,11599388,17
Stargirl Interlude,"The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,611700552,13
Ojitos Lindos,"Bomba Est��reo, Bad B",2,2022,5,6,6135,38,1133865788,71
Somewhere Only We Know,Keane,1,2004,1,1,20015,16,1089402494,107
Those Eyes,New West,1,2019,5,10,1507,14,411747614,24
El Gordo Trae El Mando,Chino Pacas,1,2023,1,27,539,21,255932395,7
Mi Bello Angel,Natanael Cano,1,2023,6,30,86,8,31873544,7
Bye,Peso Pluma,1,2023,5,26,324,14,95053634,13
Danza Kuduro,"Don Omar, Lucenzo",2,2010,1,1,17138,37,1279434863,119
Nosso Quadro,"Ana Castela, AgroPlay",2,2023,2,2,894,9,233801632,14
Locked Out Of Heaven,Bruno Mars,1,2012,12,5,1622,9,1481349984,0
Un Finde | CROSSOVER #2,"Big One, FMK, Ke personajes",3,2023,4,4,561,14,142095275,4
Jimmy Cooks (feat. 21 Savage),"Drake, 21 Savage",2,2022,6,17,5871,27,618885532,81
Counting Stars,OneRepublic,1,2013,1,1,29215,43,2011464183,179
Ghost,Justin Bieber,1,2021,3,19,5866,24,1167330737,107
Under The Influence,Chris Brown,1,2019,10,4,3859,26,929964809,133
PRC,"Natanael Cano, Peso Pluma",2,2023,1,23,961,26,436027885,19
Gasolina,Daddy Yankee,1,2004,7,13,6457,18,657723613,98
One Dance,"Drake, WizKid, Kyla",3,2016,4,4,43257,24,2713922350,433
Enchanted,Taylor Swift,1,2010,1,1,4564,16,621660989,24
Save Your Tears,The Weeknd,1,2020,3,20,12688,13,1591223784,197
Sure Thing,Miguel,1,2010,5,25,13801,19,950906471,137
Every Breath You Take - Remastered 2003,The Police,1,1983,1,6,22439,19,1593270737,211
The Night We Met,Lord Huron,1,2015,2,2,18515,35,1410088830,70
